Location,Production,Startup,Lat,Lng,
Aarberg,15.2,1968, 47.0420553, 7.2751012,
Kallnach,8.3,1913, 47.0183474, 7.2354559,
Hagneck,2.91,1900, 47.05672, 7.185700000000001,
Hagneck,20.96,2015, 47.05672, 7.185700000000001,
La Dernier,28,1903, 46.8547534, 6.5014409,
Vallorbe,2.35,1955, 46.71199650000001, 6.3791102,
Les Clées,30,1955, 46.7316468, 6.462812899999999,
Montcherand,15.5,1908, 46.73381000000001, 6.50864,
Orbe,2.6,1894, 46.7293301, 6.5323588,
Orbe,0.77,2013, 46.7293301, 6.5323588,
Orbe,0.58,1920, 46.7293301, 6.5323588,
La Doux / St.Sulpice,0.82,1896, 46.90982409999999, 6.5643666,
St.Sulpice,3.9,1988, 46.51011399999999, 6.558195100000001,
Noiraigues Le Furcil,0.68,1956, 46.953016, 6.730449399999999,
Brot - Dessous,1.11,1896, 46.9558416, 6.747745399999999,
Brot-Dessouss Les Moyats,1.6,1887, 46.9530554, 6.7586432,
Boudrys Combe-Garot,4.86,1897, 46.9626054, 6.7967014,
Boudry,4.4,1914, 46.9542921, 6.8478409,
Boudry,0.5,2014, 46.9542921, 6.8478409,
Neuchâtels Serrières,0.51,1920, 46.9899874, 6.9292732,
Neuchâtels Serrières,0.36,1939, 46.9899874, 6.9292732,
Neuchâtels Serrières,0.32,1939, 46.9899874, 6.9292732,
La Serrières Neuchâtel,1.3,2016, 46.9814848, 6.899276299999999,
Sonceboz,0.39,2005, 47.1957402, 7.178649399999999,
Pérys Rondchâtel,3,1883, 47.1731531, 7.2485734,
Pérys Frinvillier,0.3,1893, 47.1876743, 7.3000893,
Frinvillier,0.35,1869, 47.1876743, 7.3000893,
Biel-Bözingen,0.32,1896, 47.1544144, 7.2726701,
Bözingen,3.25,1876, 47.1544144, 7.2726701,
Brügg,5.2,1995, 47.48673549999999, 8.2109103,
Rüderswil,0.42,1999, 46.9834237, 7.723239500000001,
Gohlhusbrüggs Lützelflüh,0.42,2016, 47.0081826, 7.6865903,
Bätterkinden,0.5,1854, 47.1306664, 7.539792899999999,
Bätterkinden,0.4,1855, 47.1306664, 7.539792899999999,
Utzenstorf,0.38,1893, 47.12816670000001, 7.5588034,
Wiler bei Utzenstorf,0.5,1889, 47.1523824, 7.5591746,
Biberist,0.5,1864, 47.1818339, 7.5577799,
Derendingen,0.33,1863, 47.1952433, 7.585593099999999,
Luterbach,0.86,1876, 47.2159256, 7.587512500000001,
Luterbach,0.32,1888, 47.2159256, 7.587512500000001,
Riedholz,23.4,1970, 47.2301841, 7.565355399999999,
Bannwil,28.5,1970, 47.2402164, 7.737478299999999,
Oberwynau,12,1996, 47.254568, 7.7897914,
Schwarzhäusern,8.2,1923, 47.2519786, 7.766630200000001,
Boningen,23,2000, 47.306647, 7.8563888,
Aarburg,0.42,1889, 47.3205914, 7.9066923,
Olten,0.37,2015, 47.3499624, 7.903703399999999,
Niedergösgen,51.3,1917, 47.3729363, 7.992261699999999,
Aarau,16.93,1893, 47.390434, 8.0457015,
Aarau,9.2,1929, 47.390434, 8.0457015,
Aarau,1.2,2014, 47.390434, 8.0457015,
Auenstein,40,1945, 47.4166971, 8.1362613,
Rupperswil,1.74,1945, 47.4051347, 8.1290407,
Niederlenz,0.4,1943, 47.4015698, 8.1761165,
