Rona, 7454, 46.56130, 9.62530,
Giswil, 6074, 46.84964, 8.16117,
Furna, 7232, 46.93550, 9.66802,
Kappel, 4616, 47.32470, 7.84650,
Barzheim, 8241, 22.95510, 90.18420,
Hüttwilen, 8536, 47.60924, 8.87154,
Gonten, 9108, 47.32022, 9.32668,
Bonaduz, 7402, 23.14840, 89.21380,
Canobbio, 6952, 46.03515, 8.96636,
Saillon, 1913, 24.00390, 89.99280,
Küsnacht, 8700, 22.31140, 90.09930,
Menzberg, 6125, 47.04072, 7.99588,
Vaz/Obervaz, 7082, 46.69494, 9.53521,
Ebnat-Kappel, 9642, 47.26153, 9.13214,
Langenthal, 4900, 47.21311, 7.78469,
Le Mont, 1052, 46.55559, 6.63513,
Zermatt, 3920, 23.01190, 91.28260,
Lützelflüh, 3432, 24.05120, 91.23310,
Vallamand, 1586, 46.92263, 7.02927,
Morbio Inferiore, 6834, undefined, undefined,
Tentlingen, 1734, undefined, undefined,
Aigle, 1860, undefined, undefined,
Renens, 1020, undefined, undefined,
Sennwald, 9466, undefined, undefined,
Aeschlen, 3656, undefined, undefined,
Bäriswil, 3323, undefined, undefined,
Aarburg, 4663, undefined, undefined,
Ftan, 7551, undefined, undefined,
Hägendorf, 4614, undefined, undefined,
Les Charbonnières, 1343, undefined, undefined,
Scuol, 7550, undefined, undefined,
Euthal, 8844, undefined, undefined,
Bonau, 8554, undefined, undefined,
Bellach, 4512, undefined, undefined,
Aarberg, 3270, undefined, undefined,
Sonvilier, 2615, undefined, undefined,
Ossingen, 8475, undefined, undefined,
Klosters, 7250, undefined, undefined,
Lüchingen, 9450, undefined, undefined,
Realp, 6491, undefined, undefined,
Rickenbach, 6221, undefined, undefined,
Pfäffikon, 8330, undefined, undefined,
L'Isle, 1148, undefined, undefined,
Küsnacht, 8700, undefined, undefined,
Staufen, 5603, undefined, undefined,
Wettingen, 5430, undefined, undefined,
Allenwinden, 6319, undefined, undefined,
Pfeffingen, 4148, 47.45916, 7.58936,
Les Vieux-Prés, 2054, undefined, undefined,
Horgenberg, 8815, undefined, undefined,
Guntalingen, 8468, undefined, undefined,
Rehetobel, 9038, undefined, undefined,
Reichenbach, 3713, undefined, undefined,
Villarlod, 1695, 46.71415, 7.02548,
Au, 9434, undefined, undefined,
Uetendorf, 3661, undefined, undefined,
Affoltern, 3416, undefined, undefined,
Grasswil, 3365, undefined, undefined,
Rebstein, 9445, undefined, undefined,
Kaltacker, 3413, undefined, undefined,
Laufenburg, 5080, undefined, undefined,
Genf, 1203, undefined, undefined,
Unterseen, 3800, undefined, undefined,
Ettiswil, 6218, undefined, undefined,
Teufen, 9053, undefined, undefined,
Rüti, 8630, undefined, undefined,
Krummenau, 9643, undefined, undefined,
Sempach, 6204, undefined, undefined,
Selzach, 2545, undefined, undefined,
Oberentfelden, 5332, 47.57190, 8.31780,
Geiss, 6123, undefined, undefined,
Kleinandelfingen, 8451, undefined, undefined,
Wyssachen, 4954, undefined, undefined,
Mettmenstetten, 8932, undefined, undefined,
Schaffhausen, 8200, undefined, undefined,
Romoos, 6113, undefined, undefined,
Schenkon, 6214, undefined, undefined,
Niederbuchsiten, 4626, undefined, undefined,
Gruesch, 7214, 46.97397, 9.64286,
Cossonay-Ville, 1304, 46.59949, 6.50922,
Ennetbürgen, 6373, undefined, undefined,
Pfaffnau, 6264, undefined, undefined,
St. Gallen, 9010, 47.43778, 9.37259,
Oberegg, 9413, undefined, undefined,
Arlesheim, 4144, 47.49433, 7.60655,
Marbach, 9437, 47.38955, 9.56807,
Kirchlindach, 3038, 47.01495, 7.41307,
Schmitten, 3185, undefined, undefined,
