"Anlage_Energieträger","Anlagentyp","Leistung [kW]","Anlage_Inbetriebnahme","PLZ","Ort","Anlage_Kanto"
"Photovoltaik","Angebaute Anlage","164.4","01.10.11","2345","Le Cerneux-Veusil","JU"
"Photovoltaik","Integrierte Anlage","164.6","29.08.13","4913","Bannwil","BE"
"Photovoltaik","Integrierte Anlage","164.7","29.09.12","5242","Birr","AG"
"Photovoltaik","Angebaute Anlage","165","31.03.15","7537","Müstair","GR"
"Photovoltaik","Angebaute Anlage","165","13.12.11","3770","Zweisimmen","BE"
"Photovoltaik","Angebaute Anlage","165.3","17.04.12","9205","Waldkirch","SG"
"Photovoltaik","Angebaute Anlage","165.4","20.10.16","8716","Schmerikon","SG"
"Photovoltaik","Angebaute Anlage","165.4","30.06.16","7132","Vals","GR"
"Photovoltaik","Angebaute Anlage","165.4","22.09.11","8633","Wolfhausen","ZH"
"Photovoltaik","Angebaute Anlage","165.4","28.09.12","4703","Kestenholz","SO"
"Photovoltaik","Angebaute Anlage","165.6","06.07.13","6313","Menzingen","ZG"
"Photovoltaik","Angebaute Anlage","165.6","08.01.15","3434","Obergoldbach","BE"
"Photovoltaik","Angebaute Anlage","165.7","11.06.10","5643","Sins","AG"
"Photovoltaik","Angebaute Anlage","165.9","26.06.08","8580","Hagenwil bei Amriswil","TG"
"Photovoltaik","Angebaute Anlage","166.1","10.11.10","8477","Oberstammheim","ZH"
"Photovoltaik","Integrierte Anlage","166.3","21.12.12","3306","Etzelkofen","BE"
"Photovoltaik","Angebaute Anlage","166.6","18.12.09","6234","Kulmerau","LU"
"Photovoltaik","Integrierte Anlage","166.6","30.09.15","8154","Oberglatt","ZH"
"Photovoltaik","Angebaute Anlage","166.6","27.04.15","9225","Wilen-Gottshaus","TG"
"Photovoltaik","Angebaute Anlage","167","20.10.11","3302","Moosseedorf","BE"
"Photovoltaik","Integrierte Anlage","167.1","17.12.10","6222","Gunzwil","LU"
"Photovoltaik","Angebaute Anlage","167.2","14.01.15","5630","Muri","AG"
"Photovoltaik","Angebaute Anlage","167.2","13.08.15","6074","Giswil","OW"
"Photovoltaik","Integrierte Anlage","167.3","27.09.12","9243","Jonschwil","SG"
"Photovoltaik","Angebaute Anlage","167.4","21.09.15","5610","Wohlen","AG"
"Photovoltaik","Angebaute Anlage","167.7","18.12.13","1073","Savigny","VD"
