"Location","Production","Startup",
"Nidfurn","2012.11",
"Morbio Inferiore","2012.08",
"Scherz","2004.10",
"Zürich","2004.12",
"Villars-sur-Fontenais","2010.10",
"Plan-les-Ouates","2003.11",
"Uetikon am See","2012.11",
"Fislisbach","2011.11",
"Ittigen","2008.11",
"Rosshäusern","2011.11",
"Steinmaur","2009.12",
"Furna","23.1","2015",
"Egg","23.1","2012",
"Pailly","23.1","2015",
"Kesswil","23.1","2011",
"Bottmingen","23.2","2009",
"Teufen","23.2","2012",
"Siviriez","23.3","2011",
"Gasel","23.3","2007",
"Thayngen","23.3","2011",
"Rapperswil","23.4","2015",
"Trimbach","23.4","2012",
"Muhen","23.4","2012",
"Nyon","23.4","2010",
"Schocherswil","23.4","2015",
"Müntschemier","23.4","2011",
"Rüschegg Heubach","23.4","2014",
"Trüllikon","23.4","2011",
"Einsiedeln","23.4","2016",
"St. Gallen","23.4","2012",
"Oberdorf","23.5","2011",
"Basel","23.5","2011",
"Gsteig","23.5","2016",
"Giswil","23.5","2013",
"Wettingen","23.5","2008",
"Wiesenberg","23.5","2008",
"Münsingen","23.5","2008",
"Glovelier","23.5","2012",
"Rona","23.5","2012",
"Ebikon","23.5","2010",
"Tenna","23.5","2011",
"Zell","23.5","2011",
"Schüpfheim","23.6","2011",
"Kümmertshausen","23.6","2008",
"Collombey","23.6","2011",
"Mühledorf","23.6","2009",
"Willisau","23.6","2011",
"Lützelflüh","23.7","2015",
"Staufen","23.7","2009",
"St-Imier","23.7","2011",
"Yverdon","23.8","2013",
"Gruenenmatt","23.8","2012",
"Unterwasser","23.8","2015",
"Hildisrieden","23.9","2010",
"Kaltbrunn","23.9","2013",
"Davos","23.9","2010",
"Gunzwil","23.9","2011",
"Lenzerheide","23.9","2015",
"Törbel","23.9","2013",
"Wuppenau","23.9","2016",
"Höchstetten","2012.11",
"Glashütten","2006.12",
"Rüti bei Büren","2006.14",
"Zweisimmen","2011.11",
"Lyssach","2008.14",
"Neuchâtel","2008.10",
"Lenzerheide","2010.14",
"Zetzwil","2003.16",
"Buttisholz","2009.12",
"Willadingen","2009.11",
"Goldiwil","2006.12",
"Beinwil","2011.11",
"Le Mont","2010.11",
"St. Peter","24.1","2017",
"Präz","24.1","2011",
"Utzigen","24.1","2011",
"Ruswil","24.1","2012",
"Bargen","24.2","2010",
"Blumenstein","24.2","2011",
"Hinwil","24.2","2008",
"Gsteig","24.3","2015",
"Bonaduz","24.3","2010",
"Nassen","24.3","2011",
"Saignelégier","24.3","2013",
"Montfaucon","24.3","2009",
"Faoug","24.3","2012",
"Menzingen","24.3","2015",
"Langnau","24.3","2011",
"Ammerzwil","24.3","2016",
"Belp","24.3","2013",
"Otelfingen","24.4","2015",
"Bichwil","24.4","2012",
"Ueberstorf","24.4","2011",
"Marbach","24.4","2012",
"Steffisburg","24.5","2016",
"Gonten","24.5","2009",
"Degen","24.5","2007",
"Cressier","24.5","2013",
"Cressier","24.5","2013",
"Flühli","24.6","2015",
"Aigle","24.6","2009",
"Jonschwil","24.6","2009",
"Rubigen","24.6","2012",
"Weinfelden","24.6","2011",
"Wila","24.6","2014",
"Villarlod","24.7","2011",
"Niederbüren","24.7","2011",
"Ehrendingen","24.7","2011",
"Lützelflüh-Goldbach","24.7","2011",
"Klosters","24.7","2014",
"Azmoos","24.7","2012",
"Interlaken","24.7","2011",
"Aesch","24.8","2014",
"Au","24.8","2015",
"Dürrenroth","24.8","2012",
"Donzhausen","24.8","2015",
"Heitenried","24.8","2012",
"Chiasso","24.8","2010",
"Euthal","24.8","2009",
"Wilchingen","24.8","2013",
"Altendorf","24.8","2010",
"Ebnat-Kappel","24.8","2015",
"Saillon","24.8","2011",
"Niederönz","24.8","2011",
"Gümmenen","24.9","2008",
"Finsterwald","24.9","2011",
"Schlossrued","24.9","2011",
"Kriessern","24.9","2012",
"Brugg","2006.15",
"Ennetbürgen","2012.11",
"Münchenstein","2012.10",
