"Ort","Postleitzahl","Installierte Leistung in KW","Inbetriebnahme","ZE-Kanton"
"Realp",,"2.810","2017","Uri"
"Andermatt",,"2.900","1961","Uri"
"Göschenen",,"164.800","1962","Uri"
"Göschenen",,"33.260","1961","Uri"
"Göschenen",,"1.620","1969","Uri"
"Pfaffensprung",,"58.000","1949","Uri"
""Wassen"," Pfaffensprung"",,"0.720","1998","Uri"
"Gurtnellen",,"6.600","1900","Uri"
"Gurtnellen",,"0.310","2007","Uri"
"Bristen",,"4.300","2016","Uri"
"Amsteg",,"120.000","1923","Uri"
"Amsteg",,"1.730","1998","Uri"
"Amsteg",,"13.000","1910","Uri"
""Erstfeld"," Ripshusen"",,"7.000","1963","Uri"
""Erstfeld"," Ripshusen"",,"1.700","1931","Uri"
"Unterschächen",,"0.520","1996","Uri"
"Unterschächen",,"2.200","1962","Uri"
"Bürglen",,"20.800","1967","Uri"
"Bürglen",,"1.500","1895","Uri"
"Altdorf",,"0.300","2002","Uri"
"Isenthal",,"1.180","1959","Uri"
"Seedorf",,"0.380","2012","Uri"
"Seedorf",,"12.000","1955","Uri"
""Bisisthal"," Sahli"",,"4.700","1962","Schwyz"
""Bisisthal"," Sahli"",,"9.300","1970","Schwyz"
"Bisisthal",,"15.800","1956","Schwyz"
"Muotathal",,"8.800","1960","Schwyz"
"Muotathal",,"4.700","1960","Schwyz"
"Ibach",,"20.400","1966","Schwyz"
"Ibach",,"0.320","1859","Schwyz"
"Brunnen",,"0.600","1885","Schwyz"
""Steinen"," Müliacher"",,"2.200","2016","Schwyz"
"Beckenried",,"1.630","1957","Nidwalden"
""Engelberg"," Stalden"",,"1.270","1941","Obwalden"
"Engelberg",,"8.500","1967","Obwalden"
"Engelberg",,"3.070","1966","Obwalden"
"Grafenort",,"31.950","1905","Obwalden"
"Grafenort",,"1.970","1963","Obwalden"
"Wolfenschiessen",,"17.750","1962","Nidwalden"
""Wolfenschiessen"," Flüglisloo"",,"2.000","2013","Nidwalden"
"Oberrickenbach",,"8.700","1937","Nidwalden"
"Wolfenschiessen",,"6.600","1945","Nidwalden"
"Buochs",,"0.330","1888","Nidwalden"
"Lungern",,"1.200","2003","Obwalden"
"Kaiserstuhl",,"10.300","1933","Obwalden"
"Giswil",,"12.000","2013","Obwalden"
"Giswil",,"54.000","1921","Obwalden"
""Sachseln"," Obflue"",,"0.300","2005","Obwalden"
""Kerns"," Stöckalp"",,"14.000","1960","Obwalden"
""Kerns"," Wisserlen"",,"1.150","1905","Obwalden"
""Alpnach"," Eichibrücke"",,"2.400","1957","Obwalden"
""Stansstad"," Rotzloch"",,"0.300","1872","Nidwalden"
"Luzern",,"0.930","1998","Luzern"
"Wolhusen",,"0.330","1906","Luzern"
"Malters",,"0.870","2011","Luzern"
"Kriens/Obernau",,"0.710","1999","Luzern"
"Littau",,"0.790","1886","Luzern"
"Emmenbrücke",,"1.080","1931","Luzern"
"Emmen",,"2.100","1896","Luzern"
""Perlen"," Buchrain"",,"1.000","1873","Luzern"
""Perlen"," Root"",,"1.150","1875","Luzern"
"Unterägeri",,"0.450","1908","Zug"
""Neuägeri"," Gmde Menzingen"",,"0.340","2015","Zug"
""Lorzentobel"," Nidfuren"",,"1.900","1898","Zug"
"Lorzentobel",,"1.670","1891","Zug"
"Baar",,"2.170","1854","Zug"
""Friesencham"," Cham"",,"0.600","1897","Zug"
"Hagendorn",,"0.580","1893","Zug"
"Bremgarten",,"20.000","1975","Aargau"
