Location,Production,Startup
Wangen an der Aare,22.7,24.06.09
Hofstetten b. Brienz,22.7,13.10.11
Pfäffikon,22.7,22.11.11
Triengen,22.7,23.12.11
Hemberg,22.8,08.12.11
Ennetmoos,22.8,29.03.10
Scharnachtal,22.8,19.09.08
Neu St. Johann,22.8,11.10.11
Rüdtligen,22.8,14.06.11
Langenthal,22.9,20.05.08
Erstfeld,22.9,28.09.16
Sonvilier,22.9,06.12.07
Uettligen,22.9,04.11.10
Lütisburg / Unterrindal,22.9,28.02.12
Ebnat-Kappel,22.9,20.08.14
Wolfenschiessen,22.9,27.06.14
Alten,23,24.09.12
Uettligen,23,27.12.11
Neukirch,23,30.09.11
Nidfurn,23,06.12.11
Morbio Inferiore,23,01.12.08
Scherz,23,23.04.10
Zürich,23,03.04.12
Villars-sur-Fontenais,23,26.10.10
Plan-les-Ouates,23,24.03.11
Uetikon am See,23,20.12.11
Fislisbach,23,10.11.11
Ittigen,23,18.08.11
Rosshäusern,23,24.11.11
Steinmaur,23,13.09.12
Furna,23.1,09.03.15
Egg,23.1,11.05.12
Pailly,23.1,05.03.15
Kesswil,23.1,25.07.11
Bottmingen,23.2,19.03.09
Teufen,23.2,29.09.12
Siviriez,23.3,20.12.11
Gasel,23.3,21.09.07
Thayngen,23.3,21.12.11
Rapperswil,23.4,18.03.15
Trimbach,23.4,08.08.12
Muhen,23.4,20.09.12
Nyon,23.4,13.10.10
Schocherswil,23.4,05.01.15
Müntschemier,23.4,16.12.11
Rüschegg Heubach,23.4,12.12.14
Trüllikon,23.4,30.09.11
Einsiedeln,23.4,28.09.16
St. Gallen,23.4,16.05.12
Oberdorf,23.5,18.02.11
Basel,23.5,28.07.11
Gsteig,23.5,15.11.16
Giswil,23.5,06.02.13
Wettingen,23.5,08.12.08
Wiesenberg,23.5,19.11.08
Münsingen,23.5,13.10.08
Glovelier,23.5,05.07.12
Rona,23.5,18.09.12
Ebikon,23.5,20.12.10
Tenna,23.5,06.12.11
Zell,23.5,23.10.11
Schüpfheim,23.6,18.11.11
Kümmertshausen,23.6,11.06.08
Collombey,23.6,09.05.11
Mühledorf,23.6,19.11.09
Willisau,23.6,14.12.11
Lützelflüh,23.7,25.03.15
Staufen,23.7,11.09.09
St-Imier,23.7,15.05.11
Yverdon,23.8,09.12.13
Gruenenmatt,23.8,29.02.12
Unterwasser,23.8,29.09.15
Hildisrieden,23.9,05.05.10
Kaltbrunn,23.9,28.11.13
Davos,23.9,23.08.10
Gunzwil,23.9,12.10.11
Lenzerheide,23.9,30.09.15
Törbel,23.9,11.11.13
Wuppenau,23.9,29.01.16
Höchstetten,24,01.12.11
Glashütten,24,06.06.12
Rüti bei Büren,24,10.06.14
Zweisimmen,24,11.11.11
Lyssach,24,12.08.14
Neuchâtel,24,27.08.10
Lenzerheide,24,28.10.14
Zetzwil,24,30.03.16
Buttisholz,24,26.09.12
Willadingen,24,16.09.11
Goldiwil,24,18.06.12
Beinwil,24,28.11.11
