"Location","Production","Startup",
"Le Châtelard","112.000","1923",
"Vallorcine","260.500","1978",
"Finhaut","900.000","2018",
"Salvan, Alpage de Barberine","0.000","1978",
"Vallorcine","0.000","1978",
"Vernayaz","92.000","1927",
"Vernayaz","0.460","2013",
"Martigny","170.000","1978",
"Vernayaz","1.700","2016",
"Vernayaz, Miéville","70.000","1950",
"Giétroz du Fond","0.000","1965",
"Clusanfe","0.000","1950",
"Collonges","3.300","1981",
"Evionnaz, La Rasse","0.720","1998",
"Lavey","90.000","1950",
"La Peuffeyre","24.000","1927",
"Bex","8.000","1898",
"Bex","2.610","1911",
"Le Bevieux","1.900","1943",
"Etrivouez, Grand Paradis","0.970","1901",
"La Frassenaye, Val d'Jlliez","0.920","2005",
"Monthey","13.600","1910",
"Monthey, Les Nants","9.800","1963",
"Monthey","0.400","1992",
"Vionnaz, Beffeux","0.420","2014",
"Les Diablerets, Le Plan","5.400","1957",
"Ormont-Dessous, Le Pont","10.600","1913",
"Ormont - Dessous, Le Pont","0.390","2013",
"Aigle, En la Douve","0.460","1989",
"Fontanney, Les Farettes","20.300","1906",
"Les Farettes, Aigle","0.330","1997",
"Vouvry, Haut du Village","8.000","1902",
"Saint-Gingolph, Vignolles","0.350","2009",
"Veytaux, Chillon","420.000","1972",
"Montreux, Sonzier","1.650","1901",
"Les Planches, Taulan","1.200","1887",
"Rivaz","0.730","2014",
"Aubonne","10.700","1896",
"Lavigny","3.310","2008",
"Genève","8.700","1994",
"Veyrier, Iles de Vessy","0.320","1867",
"Russin","102.800","1943",
"Avully / Chancy","54.000","1925",
"Challex","0.480","2013",
"Les Brenets, La Rançonnière","1.600","1890",
"Les Planchettes","1.000","2005",
"Les Planchettes","31.600","1953",
"Echelles de la Mort","12.000","1909",
"Le Noirmont","5.600","1894",
"Bedretto, Ossasco","1.270","2012",
"Motti della Bolla","1.930","1991",
"Airolo","60.000","1947",
"Cap.dei Morti","0.000","1947",
"Airolo, Launc","3.600","1922",
"Piotta","44.000","1920",
"Piotta","14.000","1968",
"Rodi-Fiesso","10.000","1925",
"Prato Leventina, P. di Masc.","0.310","2008",
"Faido","2.000","1950",
"Dalpe","1.000","2000",
"Lavorgo, Nivo di Chironico","72.900","1932",
"Chironico","2.900","1907",
"Personico","141.000","1966",
"Ghirone","20.000","1963",
"Olivone","102.000","1962",
"Biasca","324.000","1959",
"Mesocco, Spina","20.900","1962",
"Mesocco, Spina","4.200","1963",
"Mesocco, Camou","0.350","2010",
"Soazza","83.000","1961",
"Lostallo, Rura","25.000","1958",
"Piani di Verdabbio","0.300","1957",
"Grono, Oltra","37.500","1965",
"Roveredo","20.800","1951",
"Giubiasco","0.310","2017",
"Giubiasco","15.500","1903",
"Gordola","132.500","1965",
"Tenero","4.250","1972",
"Piano di Peccia","54.000","1955",
"Piano di Peccia","0.980","1991",
"Robiei","192.000","1968",
"San Carlo","140.000","1966",
"Broglio, Corsgèla in Lavizarra","2.120","2016",
"Cavergno","114.000","1955",
"Brissago","119.000","1953",
"Brissago","62.000","1973",
"Campo Vallemaggia","1.280","2002",
"Cerentino, Collinasca","1.380","2004",
"Someo, Giumaglio","8.940","1967",
"Palagnedra","2.850","2018",
"Tegna, Ponte Brolla","3.100","1904",
"Sonvico","5.000","1926",
"Sigirino (Monteceneri)","0.840","2015",
"Maroggia","0.950","1890",
"Gabi","11.330","1957",
"Gondo, San Marco","46.000","1952",
"Gondo, Tannuwald","5.200","1953",
"Poschiavo, Alpe Palü","9.500","1927",
"Poschiavo, Bernina","0.000","1923",
"Poschiavo, Cavaglia","7.000","1927",
"S. Carlo, Robbia","27.000","1910",
"San Carlo, Pedecosta","0.510","2010",
"Campocologno","50.000","1907",
"Campocologno","1.620","1950",
"Casaccia","6.600","1961",
"Casaccia","86.000","1959",
